Date,Open,High,Low,Close,Volume
2004-08-23,392.5,405.0,380.0,392.5,0
2004-08-24,392.5,407.0,380.0,394.5,0
2004-08-25,394.5,407.0,382.0,394.5,0
2004-08-26,394.5,407.0,382.0,394.5,0
2004-08-27,394.5,408.0,382.0,395.5,0
2004-08-30,395.5,409.0,383.0,396.5,0
2004-08-31,396.5,409.0,384.0,396.5,0
2004-09-01,396.5,409.0,384.0,396.5,0
2004-09-02,396.5,409.0,384.0,396.5,0
2004-09-03,396.5,409.0,384.0,396.5,0
2004-09-06,396.5,409.0,384.0,396.5,0
2004-09-07,396.5,409.0,384.0,396.5,0
2004-09-08,396.5,409.0,384.0,396.5,0
2004-09-09,396.5,409.0,384.0,396.5,0
2004-09-10,396.5,409.0,384.0,396.5,0
2004-09-13,392.5,409.0,380.0,404.0,0
2004-09-14,404.0,409.0,399.0,404.0,0
2004-09-15,404.0,409.0,399.0,404.0,0
2004-09-16,404.0,409.0,399.0,404.0,0
2004-09-17,404.0,409.0,399.0,404.0,0
2004-09-20,404.0,409.0,399.0,404.0,0
2004-09-21,404.0,420.0,399.0,411.0,0
2004-09-22,411.0,423.0,402.0,413.0,0
2004-09-23,413.0,423.0,402.0,412.0,0
2004-09-24,412.0,422.0,402.0,412.0,0
2004-09-27,412.0,424.0,402.0,414.0,0
2004-09-28,414.0,425.0,404.0,415.0,0
2004-09-29,415.0,426.0,405.0,415.5,0
2004-09-30,415.5,426.0,405.0,415.5,0
2004-10-01,415.5,426.0,405.0,415.5,0
2004-10-04,415.5,432.0,405.0,425.5,0
2004-10-05,425.5,432.0,419.0,425.5,0
2004-10-06,425.5,432.0,419.0,425.5,0
2004-10-07,425.5,432.0,419.0,425.5,0
2004-10-08,425.5,440.0,419.0,432.0,0
2004-10-11,432.0,445.0,424.0,435.0,0
2004-10-12,435.0,445.0,425.0,435.0,0
2004-10-13,435.0,445.0,425.0,435.0,0
2004-10-14,435.0,447.0,425.0,437.0,0
2004-10-15,437.0,447.0,427.0,437.0,0
2004-10-18,437.0,447.0,427.0,437.0,0
2004-10-19,437.0,447.0,412.0,422.0,0
2004-10-20,422.0,432.0,412.0,422.5,0
2004-10-21,422.5,431.0,414.0,422.5,0
2004-10-22,422.5,431.0,413.0,421.5,0
2004-10-25,421.5,435.0,412.0,423.5,0
2004-10-26,423.5,435.0,412.0,423.0,0
2004-10-27,423.0,433.0,412.0,418.0,0
2004-10-28,418.0,423.0,412.0,417.0,0
2004-10-29,417.0,422.0,412.0,417.0,0
2004-11-01,417.0,422.0,412.0,417.0,0
2004-11-02,417.0,423.0,412.0,418.0,0
2004-11-03,418.0,423.0,413.0,418.0,0
2004-11-04,418.0,423.0,413.0,418.0,0
2004-11-05,418.0,423.0,413.0,418.0,0
2004-11-08,418.0,423.0,413.0,418.0,0
2004-11-09,418.0,423.0,413.0,418.0,0
2004-11-10,418.0,423.0,413.0,418.0,0
2004-11-11,418.0,423.0,413.0,418.0,0
2004-11-12,418.0,423.0,413.0,418.0,0
2004-11-15,418.0,423.0,413.0,418.0,0
2004-11-16,418.0,443.0,413.0,433.0,0
2004-11-17,433.0,443.0,423.0,433.0,0
2004-11-18,433.0,443.0,423.0,433.0,0
2004-11-19,433.0,443.0,423.0,433.0,0
2004-11-22,433.0,445.0,423.0,435.0,0
2004-11-23,435.0,445.0,425.0,435.0,0
2004-11-24,435.0,445.0,425.0,435.0,0
2004-11-25,435.0,445.0,425.0,435.0,0
2004-11-26,435.0,445.0,425.0,435.0,0
2004-11-29,435.0,445.0,425.0,435.0,0
2004-11-30,435.0,445.0,425.0,435.0,0
